@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
0.111111,0.333333,0.666667,0.352941,North
0.074074,0.333333,0.666667,0.411765,West
0.074074,0.266667,0.666667,0.411765,South
0.111111,0.266667,0.666667,0.294118,East
0.148148,0.266667,0.666667,0.235294,East
0.148148,0.2,0.666667,0.176471,South
0.185185,0.2,0.666667,0.176471,East
0.222222,0.2,0.666667,0.058824,East
0.259259,0.2,0.666667,0.058824,East
0.296296,0.2,0.666667,0.058824,East
0.296296,0.266667,0.666667,0.058824,North
0.296296,0.333333,0.666667,0.176471,North
0.296296,0.266667,0.666667,0.176471,South
0.296296,0.2,0.666667,0.058824,South
0.296296,0.133333,0.666667,0.117647,South
0.296296,0.2,0.666667,0.117647,North
0.333333,0.2,0.666667,0.117647,East
0.37037,0.2,0.666667,0.117647,East
0.37037,0.266667,0.666667,0.117647,North
0.333333,0.266667,0.666667,0.117647,West
0.333333,0.333333,0.666667,0,North
0.333333,0.4,0.666667,0,North
0.296296,0.4,0.666667,0.058824,West
0.296296,0.333333,0.666667,0.058824,South
0.333333,0.333333,0.666667,0.058824,East
0.333333,0.266667,0.666667,0,South
0.333333,0.2,0.333333,0.647059,South
0.333333,0.266667,0.333333,0.764706,North
0.333333,0.333333,0.333333,0.764706,North
0.333333,0.4,0.333333,0.764706,North
0.333333,0.466667,0.333333,0.882353,North
0.333333,0.533333,0.333333,0.941176,North
0.333333,0.6,0.333333,1,North
0.37037,0.6,0.333333,1,East
0.407407,0.6,0.333333,0.882353,East
0.444444,0.6,0.333333,0.764706,East
0.444444,0.533333,0.333333,0.764706,South
0.444444,0.466667,0.333333,0.647059,South
0.444444,0.4,0.333333,0.588235,South
0.444444,0.333333,0.333333,0.470588,South
0.444444,0.266667,0.333333,0.352941,South
0.444444,0.2,0.333333,0.294118,South
0.444444,0.133333,0.333333,0.294118,South
0.481481,0.133333,0.333333,0.176471,East
0.481481,0.133333,0.333333,0.117647,East
0.481481,0.066667,0.333333,0.117647,South
0.518519,0.066667,0.333333,0.117647,East
0.555556,0.066667,0.333333,0,East
0.555556,0,0.333333,0.117647,South
0.592593,0,0.333333,0.117647,East
0.592593,0.066667,0.333333,0.117647,North
0.62963,0.066667,0.333333,0.058824,East
0.666667,0.066667,0.333333,0.058824,East
0.703704,0.066667,0,0.294118,East
0.740741,0.066667,0,0.235294,East
0.777778,0.066667,0,0.176471,East
0.814815,0.066667,0,0.058824,East
0.814815,0.133333,0,0.176471,North
0.851852,0.133333,0,0.176471,East
0.888889,0.133333,0,0.176471,East
0.888889,0.066667,0,0.176471,South
0.888889,0,0,0.058824,South
0.925926,0,0,0.058824,East
0.962963,0,0,0.058824,East
1,0,0,0.058824,East
1,0,0,0,East
0.407407,0.466667,1,0.117647,Stop
0.407407,0.466667,1,0.176471,Stop
0.407407,0.466667,1,0.117647,Stop
0.444444,0.466667,1,0,East
0.481481,0.466667,1,0.117647,East
0.481481,0.533333,1,0.117647,North
0.444444,0.533333,1,0.117647,West
0.444444,0.6,1,0.117647,North
0.444444,0.666667,1,0.058824,North
0.481481,0.666667,1,0,East
0.481481,0.733333,0.666667,0.588235,North
0.481481,0.733333,0.666667,0.529412,North
0.481481,0.666667,0.666667,0.529412,South
0.481481,0.6,0.666667,0.411765,South
0.481481,0.533333,0.666667,0.352941,South
0.481481,0.466667,0.666667,0.235294,South
0.481481,0.4,0.666667,0.117647,South
0.444444,0.4,0.666667,0.117647,West
0.444444,0.333333,0.666667,0,South
0.444444,0.266667,0.666667,0.058824,South
0.407407,0.266667,0.666667,0.058824,West
0.407407,0.333333,0.666667,0,North
0.444444,0.333333,0.333333,0.588235,East
0.407407,0.333333,0.333333,0.470588,West
0.37037,0.333333,0.333333,0.470588,West
0.333333,0.333333,0.333333,0.411765,West
0.296296,0.333333,0.333333,0.352941,West
0.259259,0.333333,0.333333,0.352941,West
0.259259,0.4,0.333333,0.352941,North
0.259259,0.466667,0.333333,0.352941,North
0.259259,0.533333,0.333333,0.294118,North
0.259259,0.6,0.333333,0.294118,North
0.222222,0.6,0.333333,0.235294,West
0.185185,0.6,0.333333,0.117647,West
0.148148,0.6,0.333333,0.058824,West
0.111111,0.6,0.333333,0,West
0.074074,0.6,0,0.411765,West
0.111111,0.6,0,0.411765,East
0.148148,0.6,0,0.529412,East
0.185185,0.6,0,0.529412,East
0.222222,0.6,0,0.647059,East
0.222222,0.533333,0,0.529412,South
0.222222,0.466667,0,0.411765,South
0.222222,0.4,0,0.294118,South
0.222222,0.333333,0,0.235294,South
0.222222,0.266667,0,0.235294,South
0.222222,0.2,0,0.117647,South
0.185185,0.2,0,0.058824,West
0.148148,0.2,0,0,West
0.407407,0.466667,1,0.117647,Stop
0.407407,0.466667,1,0.117647,Stop
0.407407,0.466667,1,0.117647,Stop
0.444444,0.466667,1,0.058824,East
0.481481,0.466667,1,0.117647,East
0.481481,0.533333,1,0.058824,North
0.444444,0.533333,1,0,West
0.444444,0.6,0.666667,0.294118,North
0.444444,0.533333,0.666667,0.235294,South
0.444444,0.466667,0.666667,0.176471,South
0.444444,0.4,0.666667,0.117647,South
0.444444,0.333333,0.666667,0.058824,South
0.444444,0.266667,0.666667,0,South
0.444444,0.2,0.333333,0.411765,South
0.407407,0.2,0.333333,0.352941,West
0.37037,0.2,0.333333,0.294118,West
0.333333,0.2,0.333333,0.235294,West
0.296296,0.2,0.333333,0.176471,West
0.259259,0.2,0.333333,0.117647,West
0.222222,0.2,0.333333,0.058824,West
0.185185,0.2,0.333333,0,West
0.148148,0.2,0,0.294118,West
0.148148,0.266667,0,0.235294,North
0.185185,0.266667,0,0.294118,East
0.185185,0.333333,0,0.235294,North
0.185185,0.4,0,0.176471,North
0.185185,0.466667,0,0.117647,North
0.185185,0.533333,0,0.058824,North
0.185185,0.6,0,0,North
0,0.533333,1,0.352941,Stop
0,0.533333,1,0.352941,Stop
0,0.533333,1,0.352941,Stop
0,0.533333,1,0.352941,Stop
0.037037,0.533333,1,0.294118,East
0.074074,0.533333,1,0.235294,East
0.111111,0.533333,1,0.176471,East
0.148148,0.533333,1,0.117647,East
0.148148,0.466667,1,0.058824,South
0.148148,0.4,1,0,South
0.185185,0.4,0.666667,0.176471,East
0.185185,0.466667,0.666667,0.117647,North
0.185185,0.533333,0.666667,0.058824,North
0.222222,0.533333,0.666667,0,East
0.259259,0.533333,0.333333,0.411765,East
0.296296,0.533333,0.333333,0.470588,East
0.333333,0.533333,0.333333,0.470588,East
0.333333,0.466667,0.333333,0.411765,South
0.333333,0.4,0.333333,0.352941,South
0.37037,0.4,0.333333,0.294118,East
0.407407,0.4,0.333333,0.235294,East
0.444444,0.4,0.333333,0.176471,East
0.481481,0.4,0.333333,0.117647,East
0.481481,0.333333,0.333333,0.058824,South
0.481481,0.266667,0.333333,0,South
0.481481,0.2,0,0.470588,South
0.481481,0.133333,0,0.411765,South
0.444444,0.133333,0,0.352941,West
0.407407,0.133333,0,0.294118,West
0.37037,0.133333,0,0.235294,West
0.333333,0.133333,0,0.176471,West
0.296296,0.133333,0,0.117647,West
0.259259,0.133333,0,0.058824,West
0.222222,0.133333,0,0,West
0,0.533333,1,0.352941,Stop
0,0.533333,1,0.411765,Stop
0,0.533333,1,0.352941,Stop
0.037037,0.533333,1,0.294118,East
0.074074,0.533333,1,0.176471,East
0.111111,0.533333,1,0.058824,East
0.148148,0.533333,1,0.058824,East
0.185185,0.533333,1,0.058824,East
0.222222,0.533333,1,0,East
0.259259,0.533333,0.666667,0,East
0.296296,0.533333,0.333333,0.352941,East
0.333333,0.533333,0.333333,0.352941,East
0.333333,0.466667,0.333333,0.294118,South
0.333333,0.4,0.333333,0.176471,South
0.333333,0.333333,0.333333,0.176471,South
0.333333,0.266667,0.333333,0.176471,South
