@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
0.764706,0.2,0,0.6,South
0.764706,0.133333,0,0.6,South
0.764706,0.066667,0,0.55,South
0.764706,0,0,0.45,South
0.705882,0,0,0.45,West
0.705882,0.066667,0,0.4,North
0.705882,0.066667,0,0.45,North
0.705882,0.133333,0,0.45,North
0.705882,0.066667,0,0.45,South
0.705882,0.066667,0,0.5,South
0.705882,0,0,0.5,South
0.705882,0.066667,0,0.5,North
0.705882,0.133333,0,0.5,North
0.647059,0.133333,0,0.45,West
0.588235,0.133333,0,0.4,West
0.529412,0.133333,0,0.35,West
0.470588,0.133333,0,0.3,West
0.411765,0.133333,0,0.3,West
0.352941,0.133333,0,0.3,West
0.352941,0.066667,0,0.3,South
0.352941,0.133333,0,0.3,North
0.352941,0.066667,0,0.3,South
0.352941,0.133333,0,0.25,North
0.294118,0.133333,0,0.25,West
0.294118,0.066667,0,0.25,South
0.294118,0.133333,0,0.15,North
0.235294,0.133333,0,0.15,West
0.235294,0.066667,0,0.05,South
0.176471,0.066667,0,0.05,West
0.176471,0,0,0,South
0,0.533333,1,0.3,Stop
0,0.466667,1,0.3,South
0,0.4,1,0.2,South
0.058824,0.4,1,0.1,East
0.117647,0.4,1,0.05,East
0.176471,0.4,1,0.05,East
0.176471,0.333333,1,0,South
0.235294,0.333333,0.666667,0.2,East
0.235294,0.266667,0.666667,0.2,South
0.176471,0.266667,0.666667,0.1,West
0.117647,0.266667,0.666667,0.1,West
0.176471,0.266667,0.666667,0.2,East
0.117647,0.266667,0.666667,0.1,West
0.176471,0.266667,0.666667,0.1,East
0.117647,0.266667,0.666667,0.1,West
0.176471,0.266667,0.666667,0.1,East
0.117647,0.266667,0.666667,0.1,West
0.058824,0.266667,0.666667,0.1,West
0.117647,0.266667,0.666667,0.1,East
0.058824,0.266667,0.666667,0.1,West
0.117647,0.266667,0.666667,0.15,East
0.058824,0.266667,0.666667,0.05,West
0.117647,0.266667,0.666667,0.1,East
0.058824,0.266667,0.666667,0.05,West
0.117647,0.266667,0.666667,0.15,East
0.058824,0.266667,0.666667,0.1,West
0.117647,0.266667,0.666667,0.2,East
0.058824,0.266667,0.666667,0.1,West
0.117647,0.266667,0.666667,0.2,East
0.058824,0.266667,0.666667,0.1,West
0,0.266667,0.666667,0.05,West
0,0.2,0.666667,0.05,South
0,0.133333,0.333333,0.7,South
0,0.066667,0.333333,0.6,South
0.058824,0.066667,0.333333,0.6,East
0.117647,0.066667,0.333333,0.6,East
