@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2,4-5'

@attribute livingGhosts numeric
@attribute class {Stop,North,South,East,West}

@data
1,North
1,East
1,South
1,South
1,North
1,South
4,Stop
4,South
4,South
4,South
4,East
4,East
3,East
3,North
3,East
2,North
2,South
2,South
2,South
2,East
2,East
2,East
2,South
2,South
1,East
1,South
1,East
1,East
1,North
1,East
1,East
1,East
1,North
1,North
4,Stop
4,South
4,South
4,South
4,South
4,South
4,North
4,East
4,East
4,East
4,East
4,South
4,South
3,South
3,South
3,East
2,East
2,North
2,North
2,East
2,East
2,East
2,North
2,North
2,East
2,East
2,East
2,East
2,East
2,East
2,East
1,East
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,West
1,West
1,West
4,Stop
4,South
4,South
4,East
4,East
4,East
3,East
3,South
3,South
3,East
3,West
3,West
3,West
3,East
3,West
3,East
3,West
3,West
3,East
3,West
3,West
3,South
3,South
3,South
2,East
2,North
2,East
2,East
2,East
2,East
2,East
2,East
2,North
2,North
2,East
2,North
2,East
2,East
2,South
2,South
2,North
2,North
2,North
2,North
2,East
2,East
2,East
2,East
2,East
2,East
1,South
1,North
1,West
4,Stop
4,South
4,South
4,East
4,East
4,East
4,East
3,East
2,North
2,South
2,South
2,South
2,East
2,West
2,West
2,East
2,West
2,East
2,West
2,West
2,East
2,West
2,East
2,West
2,West
2,East
2,East
2,West
2,East
2,West
2,West
2,East
2,West
2,West
2,East
2,West
2,East
2,West
2,West
2,South
2,South
1,South
1,East
1,East
1,East
1,East
1,East
1,South
1,East
1,North
1,East
1,South
1,North
1,East
1,East
1,East
1,North
1,East
1,East
1,East
1,South
4,Stop
4,South
4,South
4,East
4,East
4,East
4,East
4,North
4,North
4,East
3,East
3,East
3,East
3,East
3,South
3,South
3,South
3,South
3,South
2,South
2,North
2,North
2,West
2,West
2,West
2,West
2,North
2,West
2,North
2,South
2,West
1,South
1,East
1,East
1,East
1,East
1,South
1,South
1,East
1,East
1,East
1,East
1,East
1,South
1,North
1,East
1,North
1,North
1,East
1,North
1,West
4,Stop
4,South
4,South
4,East
4,South
4,East
4,North
4,South
3,East
3,South
3,East
3,East
3,West
3,East
3,West
3,West
3,East
3,West
3,East
3,East
3,West
3,East
3,West
3,West
3,East
3,East
3,West
3,East
3,North
2,North
2,South
2,South
2,West
2,West
2,West
2,East
2,West
2,East
2,East
2,East
2,West
2,West
2,East
2,West
2,East
2,West
2,East
2,East
2,East
2,West
2,West
2,East
2,East
2,West
2,East
2,West
2,East
2,West
2,West
2,East
2,West
2,East
2,East
2,West
2,East
2,East
2,South
2,South
2,South
2,South
2,West
2,North
2,West
1,West
1,South
4,Stop
4,South
4,South
4,South
4,North
4,East
4,South
4,East
4,North
4,East
4,East
4,North
4,North
4,South
3,East
3,East
3,East
3,South
3,North
3,North
3,North
3,South
3,East
2,East
2,South
2,South
2,South
2,South
2,East
2,East
1,East
1,East
1,East
1,East
4,Stop
4,South
4,South
4,East
3,East
3,East
3,South
3,South
3,West
3,East
3,East
3,West
3,East
3,North
3,North
3,North
3,North
3,East
2,East
2,East
2,East
2,East
2,South
2,South
2,South
2,North
2,South
2,South
2,South
2,South
2,South
2,South
2,South
2,South
2,North
2,North
2,East
2,North
1,East
1,West
1,South
1,South
1,West
1,South
1,South
1,South
1,South
1,West
1,South
1,South
1,West
1,West
1,West
1,North
1,West
1,North
1,South
1,South
1,West
1,North
4,Stop
4,South
4,South
4,East
4,East
4,East
4,South
4,East
4,East
4,East
4,East
3,East
3,North
3,East
2,North
2,South
2,East
1,East
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,North
1,North
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,South
1,South
1,South
1,North
1,North
1,South
1,North
1,North
1,South
1,North
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,North
1,North
1,West
1,North
1,North
1,West
1,West
1,West
1,West
1,West
1,South
1,West
1,North
1,West
4,Stop
4,South
4,South
4,East
4,South
4,East
3,East
3,South
3,East
3,East
3,East
3,East
3,South
3,South
3,South
3,South
2,North
2,North
2,North
2,North
2,East
2,East
2,East
2,North
2,North
2,North
2,North
2,South
2,South
2,South
2,South
2,South
2,South
2,North
1,North
1,South
1,North
1,South
1,South
1,South
1,South
1,North
4,Stop
4,South
4,South
4,East
4,South
4,North
4,East
4,South
3,East
3,South
3,West
3,East
3,West
3,East
3,West
3,East
3,East
3,West
3,West
3,East
3,North
3,North
3,South
3,North
3,East
3,South
3,North
3,East
3,East
3,South
2,East
2,South
2,South
2,South
2,South
2,South
2,West
2,West
2,West
2,West
2,West
1,West
1,North
1,East
1,East
1,East
1,East
1,South
1,East
1,North
1,North
1,East
1,East
1,East
1,South
1,East
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,North
1,East
1,East
1,East
1,East
1,South
1,South
1,North
1,North
1,East
1,East
1,East
1,North
1,North
1,North
1,West
1,South
1,North
1,West
1,West
1,South
1,West
4,Stop
4,South
4,South
4,East
4,East
4,South
4,East
4,East
4,South
4,East
3,East
3,North
3,North
2,West
2,South
2,South
2,West
2,West
2,West
2,East
2,West
2,East
2,West
2,East
2,West
2,West
2,West
2,South
2,South
1,South
1,North
1,North
1,North
1,East
1,East
1,East
1,East
1,East
1,East
1,North
1,South
1,North
1,East
1,South
1,East
1,East
1,North
1,South
1,South
1,South
1,North
1,North
1,North
1,South
1,South
1,South
1,South
1,East
1,East
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,North
1,East
1,East
1,East
4,Stop
4,South
4,South
4,South
4,South
4,North
4,East
4,East
4,East
3,East
2,South
2,South
2,East
2,East
2,East
2,East
2,East
2,North
2,North
2,South
2,South
2,East
2,East
2,South
1,North
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,West
1,North
1,South
4,Stop
4,South
4,South
4,South
4,South
4,South
4,South
4,East
4,East
4,East
4,East
4,East
4,East
4,East
3,East
3,North
3,North
3,North
3,North
2,East
2,North
2,North
2,North
2,South
2,West
2,West
1,West
1,East
1,East
1,East
1,North
1,North
1,South
1,North
1,East
1,East
1,East
4,Stop
4,South
4,South
4,East
4,South
4,East
4,East
4,East
4,East
4,South
4,East
3,East
3,South
3,South
3,West
3,South
3,South
2,North
2,North
2,East
2,North
2,North
2,North
2,North
2,West
2,West
1,West
1,South
1,South
1,East
1,East
1,East
1,South
1,North
1,North
1,South
1,North
1,South
1,East
1,East
1,South
1,South
1,North
1,North
1,North
1,North
1,North
1,East
1,East
1,East
4,Stop
4,South
4,South
4,North
4,North
4,North
4,North
4,North
4,East
4,East
4,East
4,East
4,South
3,North
3,South
3,East
3,East
3,East
3,East
3,South
3,East
3,East
3,East
3,East
2,East
2,East
2,South
2,East
2,South
2,North
2,East
2,East
2,East
1,East
1,South
1,West
1,West
1,West
1,South
1,South
1,West
1,West
1,West
1,West
1,West
1,South
1,West
1,South
1,West
1,West
4,Stop
4,South
4,South
4,South
4,East
4,East
4,East
4,East
4,South
3,East
3,East
3,East
3,North
3,North
3,East
3,West
3,East
3,West
3,East
3,East
3,North
2,North
2,East
2,East
2,East
2,East
1,East
1,West
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,West
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,South
1,South
1,South
1,South
1,North
1,South
1,South
1,North
1,North
1,North
1,South
1,North
1,North
1,West
1,West
1,South
1,North
1,West
1,West
1,South
1,North
1,South
1,West
1,West
1,West
4,Stop
4,South
4,South
4,South
4,East
4,East
4,North
4,East
2,East
2,South
2,South
2,East
2,East
2,East
2,South
2,South
2,South
1,East
1,North
1,North
1,North
1,North
1,North
1,East
1,East
1,East
1,East
1,East
1,South
1,East
4,Stop
4,South
4,South
4,North
4,North
4,South
4,North
4,North
4,North
4,North
4,North
4,North
4,South
4,South
4,North
4,East
4,South
3,East
3,North
3,East
2,East
2,South
2,South
2,West
2,East
2,West
2,West
2,West
2,East
2,West
2,West
2,South
2,South
1,East
1,East
1,East
1,East
1,East
1,East
1,East
1,North
1,North
1,East
1,East
1,East
1,East
1,North
1,North
1,South
1,South
1,South
1,South
1,North
1,North
1,East
4,Stop
4,South
4,South
4,East
4,East
4,East
4,East
4,East
3,East
3,South
3,South
3,West
3,East
3,West
3,West
3,East
3,East
3,North
2,East
2,South
2,South
2,South
2,South
2,West
2,West
2,North
2,West
1,West
1,South
1,East
1,East
1,North
1,East
1,East
1,East
4,Stop
4,South
4,South
4,South
4,North
4,East
4,South
4,East
4,North
4,South
4,South
4,North
4,East
4,South
4,East
3,East
3,East
3,West
3,East
3,West
3,East
3,East
3,South
3,South
2,West
2,East
2,North
2,North
2,North
2,North
2,East
2,East
2,South
2,South
2,South
2,South
2,North
2,East
1,East
1,East
1,East
1,North
1,South
1,East
1,East
4,Stop
4,South
4,South
4,North
4,East
4,East
4,East
4,East
3,East
2,East
2,West
2,South
2,South
2,South
2,South
2,West
2,West
2,West
2,West
2,West
2,South
2,South
1,East
1,East
1,South
1,East
1,South
1,East
1,North
1,East
1,North
1,South
1,East
1,North
1,South
1,North
1,South
1,East
1,East
1,East
1,North
1,South
1,East
1,North
1,East
1,East
1,South
4,Stop
4,South
4,South
4,East
4,East
4,South
3,East
3,South
3,East
3,East
3,West
3,East
3,East
3,East
3,South
2,South
2,North
2,North
2,North
2,North
2,West
2,East
2,West
2,East
2,West
2,West
1,North
1,South
1,South
1,South
1,East
1,East
1,South
1,South
1,South
1,North
1,North
1,North
1,South
1,North
1,East
1,North
1,South
1,East
1,East
1,East
1,East
1,North
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,South
1,South
1,South
1,South
1,South
1,South
1,South
1,North
1,North
1,North
1,North
1,South
1,South
1,South
1,South
1,East
1,East
1,East
4,Stop
4,South
4,South
4,South
4,South
4,East
4,North
3,East
3,South
3,East
3,East
3,East
3,East
3,East
3,South
3,South
2,South
2,North
2,North
2,North
1,East
1,North
1,North
