 #234 solutions have been found: 
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 7	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 7	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 7	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 7	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 7	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 7	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 7	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 7	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 7	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 7	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 7	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 7	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 7	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 7	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 7	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 7	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 11	 SAT5: 1	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 11	 SAT5: 1	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 11	 SAT5: 1	 SAT6: 7	 3
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 5
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 4
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 3
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 5
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 4
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 3
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 5
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 4
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 3
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 5
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 4
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 12	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 12	 SAT6: 7	 3
SAT1: 1	 SAT2: 1	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 1	 SAT2: 1	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 1	 SAT2: 1	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 1	 SAT2: 1	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 1	 SAT2: 1	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 1	 SAT2: 1	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 1	 SAT2: 1	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 1	 SAT2: 1	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 7	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4
SAT1: 3	 SAT2: 3	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4
SAT1: 2	 SAT2: 2	 SAT3: 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3
